Maegashira_Jurokumaime              Kaisei  147Shou  148Hai
  Maegashira_Jugomaime            Toyoyama  139Shou  141Hai
 Maegashira_Juyonmaime            Kotoekou  135Shou  131Hai
 Maegashira_Jusanmaime        Terutsuyoshi  127Shou  124Hai
  Maegashira_Junimaime           Akiseyama  119Shou  117Hai
Maegashira_Juichimaime         Chiyotairyu  112Shou  109Hai
    Maegashira_Jumaime          Midorifuji  106Shou  100Hai
   Maegashira_Kyumaime         Chiyonokuni  101Shou   90Hai
 Maegashira_Hachimaime          Kotonowaka   93Shou   85Hai
  Maegashira_Nanamaime         Tochinoshin   87Shou   76Hai
  Maegashira_Rokumaime           Tamawashi   80Shou   68Hai
    Maegashira_Gomaime                Endo   75Shou   58Hai
   Maegashira_Yonmaime          Kiribayama   70Shou   53Hai
   Maegashira_Sanmaime              Meisei   63Shou   45Hai
    Maegashira_Nimaime          Hokutofuji   53Shou   40Hai
     Maegashira_Hittou          Takarafuji   44Shou   34Hai
              Komusubi            Takayasu   41Shou   22Hai
              Sekiwake          Terunofuji   31Shou   17Hai
                OOzeki         Takakeishou   19Shou   14Hai
                OOzeki             Shoudai    9Shou    9Hai
              Yokozuna             Hakuhou    2Shou    1Hai
