A Tale of Two Cities,Charles John Huffam Dickens,1859
The Fellowship of the Ring,J. R. R. Tolkien,1954
The Two Towers,J. R. R. Tolkien,1954
O Alquimista,Paulo Coelho,1988
Don Quijote de la Mancha,Miguel de Cervantes,1612
The Hobbit,J. R. R. Tolkien,1937
The Little Prince,Antoine de Saint-Exupery,1943
The Return of the King,J. R. R. Tolkien,1955
Harry Potter and the Philosopher's Stone,J. K. Rowling,1997
The Lost Symbol,Dan Brown,2009
Harry Potter and the Chamber of Secrets,J. K. Rowling,1998
And Then There Were None,Agatha Christie,1939
The Da Vinci Code,Dan Brown,2003
Alice in Wonderland,Lewis Carroll,1865
